rank,name,github stars
1,numpy,21351
2,requests,48155
3,odoo,
4,six,891
5,click,12921
6,urllib3,3143
7,pandas,35107
8,certifi,566
9,typing-extensions,78
10,charset-normalizer,285
11,idna,191
12,python-dateutil,1895
13,pyyaml,1920
14,django,66036
15,scipy,10140
16,pytz,
17,matplotlib,16066
18,aiohttp,12781
19,setuptools,1792
20,packaging,420
21,pillow,10109
22,sqlparse,2965
23,asgiref,1085
24,jinja2,8725
25,tqdm,22837
26,markupsafe,491
27,attrs,4409
28,pydantic,10959
29,flask,60429
30,pytest,9167
31,lxml,2159
32,soupsieve,136
33,boto3,7517
34,cryptography,4999
35,torch,58461
36,beautifulsoup4,
37,scikit-learn,51260
38,colorama,2923
39,sqlalchemy,5919
40,protobuf,
41,pyparsing,1620
42,pygments,1031
43,pyserial,2653
44,psutil,8668
45,future,
46,joblib,
47,async-timeout,430
48,botocore,1173
49,rich,39420
50,werkzeug,6168
51,jmespath,1662
52,networkx,11502
53,toml,930
54,httpx,9329
55,opencv-python,2958
56,jsonschema,3814
57,sphinx,4878
58,typer,8711
59,pyqt5,
60,tomli,267
61,s3transfer,149
62,tabulate,1374
63,tensorflow,167530
64,redis,10715
65,wcwidth,290
66,et-xmlfile,
67,itsdangerous,2518
68,cffi,
69,bs4,
70,gitdb,170
71,selenium,
72,ipython,15490
73,yarl,842
74,python-dotenv,5244
75,pymongo,3668
76,docopt,
77,appdirs,902
78,pycryptodome,2108
79,multidict,309
80,pyjwt,4313
81,markdown,2994
82,termcolor,
83,gitpython,3629
84,openpyxl,
85,wheel,340
86,h5py,1773
87,djangorestframework,24046
88,typeguard,994
89,publication,42
90,pygame,5172
91,commonmark,239
92,grpcio,
93,loguru,12808
94,tornado,20721
95,tenacity,4069
96,websocket-client,3041
97,deprecated,200
98,pycparser,2658
99,pluggy,824
100,threadpoolctl,213
101,regex,150
102,jsii,2042
103,seaborn,9750
104,pyqt5-sip,
105,ruamel-yaml,
106,frozenlist,43
107,marshmallow,6225
108,wrapt,1739
109,aiosignal,81
110,websockets,4145
111,argparse,49
112,py,
113,pyqt5-qt5,
114,docutils,
115,importlib-metadata,60
116,nltk,11015
117,numba,
118,ipywidgets,
119,mpmath,679
120,adafruit-blinka,322
121,paramiko,7850
122,zope-interface,276
123,flake8,2269
124,cython,
125,requests-oauthlib,1544
126,requests-toolbelt,
127,zipp,28
128,msgpack,1652
129,pyrsistent,1745
130,sklearn,
131,chardet,1764
132,simplejson,1513
133,google-auth,560
134,pbr,
135,fastapi,48917
136,scikit-image,5033
137,traitlets,515
138,iniconfig,31
139,pip,8225
140,xmltodict,4891
141,dill,1728
142,starlette,7340
143,sympy,9561
144,prompt-toolkit,7901
145,biopython,3227
146,astropy,3471
147,docker,5916
148,constructs,254
149,psycopg2,2714
150,pyasn1,216
151,plotly,12051
152,google-api-core,64
153,psycopg2-binary,2714
154,pymysql,7031
155,xlrd,
156,fire,22956
157,sniffio,71
158,gym,
159,shapely,2958
160,unidecode,
161,humanfriendly,
162,streamlit,20500
163,rfc3986,
164,paho-mqtt,
165,anyio,984
166,msrest,36
167,arrow,8024
168,spacy,24103
169,torchvision,12333
170,pynacl,911
171,trio,4858
172,discord-py,11372
173,decorator,710
174,pyopenssl,
175,pycryptodomex,2108
176,cachetools,1426
177,azure-core,2982
178,pyperclip,1239
179,configparser,41
180,pywin32,3904
181,statsmodels,7709
182,oauthlib,2435
183,more-itertools,2683
184,prettytable,835
185,dnspython,1993
186,aliyun-python-sdk-core,938
187,typing,1281
188,pyarrow,10100
189,graphviz,1267
190,keras,56066
191,aiofiles,
192,google-api-python-client,5924
193,pyzmq,3148
194,jupyterlab,
195,ply,
196,prometheus-client,2911
197,watchdog,5434
198,mkdocs,14851
199,pexpect,
200,coverage,2174
201,tzlocal,159
202,httpcore,271
203,pycodestyle,
204,filelock,442
205,toolz,4017
206,rsa,392
207,defusedxml,296
208,rdflib,1749
209,xarray,2660
210,mypy-extensions,97
211,imageio,1102
212,pika,3024
213,transformers,69518
214,coloredlogs,
215,apache-airflow,27247
216,ujson,3821
217,sortedcontainers,
218,wagtail,12636
219,alibabacloud-tea-util,8
220,trio-websocket,58
221,uvicorn,5633
222,babel,1093
223,colorlog,759
224,elastic-transport,15
225,mccabe,500
226,httplib2,450
227,ptyprocess,177
228,sgmllib3k,
229,tomlkit,438
230,datetime,9
231,ipykernel,
232,pyflakes,1170
233,absl-py,1942
234,dask,10271
235,celery,20007
236,isodate,115
237,twisted,4729
238,huaweicloudsdkcore,74
239,pendulum,4963
240,shiboken2,
241,cloudpickle,1245
242,trytond,
243,antlr4-python3-runtime,
244,xlsxwriter,3001
245,faker,14696
246,elasticsearch,3732
247,llvmlite,1448
248,scrapy,44427
249,bcrypt,901
250,azure-common,2982
251,black,29034
252,robotframework,
253,pygithub,5464
254,keyring,898
255,feedparser,1458
256,gevent,5805
257,pylint,4185
258,nonebot2,2415
259,pyobjc-core,311
260,text-unidecode,58
261,python-slugify,1241
262,web3,3651
263,importlib-resources,30
264,cached-property,652
265,platformdirs,132
266,backoff,1919
267,html5lib,982
268,jupyter-server,331
269,notebook,
270,pathlib,
271,typing-inspect,269
272,nose,
273,jsonpickle,1042
274,fsspec,468
275,jupyter,
276,proto-plus,
277,pyside2,
278,adafruit-circuitpython-busdevice,71
279,datasette,6417
280,blessings,1347
281,pypdf2,4654
282,python-magic,2179
283,aws-cdk-core,9140
284,nbformat,181
285,twine,1322
286,h11,365
287,asyncio,
288,smbus2,186
289,pyfiglet,1027
290,tifffile,310
291,mock,
292,validators,617
293,aws-cdk-lib,9140
294,sanic,16432
295,python-xlib,359
296,pyspark,33800
297,dataclasses,554
298,google-cloud-storage,243
299,peppercorn,
300,dash,17245
301,zeep,
302,pyproj,784
303,pytz-deprecation-shim,6
304,lark-parser,3339
305,semver,345
306,argcomplete,1103
307,mypy,13707
308,pysam,593
309,alibabacloud-endpoint-util,2
310,iso8601,23
311,google-auth-oauthlib,120
312,natsort,688
313,alibabacloud-tea-openapi,9
314,geopandas,3299
315,pybind11,11522
316,pint,1817
317,graphql-core,442
318,inflection,402
319,qtpy,672
320,orjson,3673
321,einops,5541
322,pygobject,
323,aioredis,2202
324,python-utils,63
325,webencodings,30
326,tensorboard,5973
327,enum34,
328,pyusb,
329,grpcio-tools,
330,ecdsa,794
331,jupyter-core,170
332,kubernetes,5101
333,google-auth-httplib2,15
334,netcdf4,614
335,python-telegram-bot,19588
336,pycrypto,
337,mysql-connector-python,
338,gunicorn,8504
339,peewee,9411
340,cssselect,255
341,azure-mgmt-core,2982
342,apscheduler,4473
343,parse,1457
344,blinker,1403
345,nbconvert,
346,uritemplate,
347,netaddr,701
348,dateparser,2107
349,cattrs,538
350,pyramid,3694
351,plover,
352,netifaces,280
353,sentry-sdk,1321
354,cerberus,2830
355,python-jose,1165
356,pytest-cov,1308
357,dataclasses-json,948
358,bokeh,16646
359,logzero,1029
360,jax,20077
361,contextlib2,
362,emoji,1527
363,rpi-gpio,
364,virtualenv,4252
365,pathspec,98
366,alembic,1537
367,pyodbc,2475
368,python-json-logger,1345
369,ordered-set,165
370,youtube-dl,112975
371,googleapis-common-protos,8
372,pytzdata,16
373,bottle,
